year,flow_ML
1959,9549.187199998454
1960,63399.801599998646
1961,22692.6144000013
1962,16553.462399998385
1963,45028.310399998576
1964,39726.97919999327
1965,20745.67679999501
1966,21558.35520000236
1967,1503.3599999997093
1968,30034.368000000824
1969,14839.718399998028
1970,46453.56479999936
1971,52717.823999995955
1972,13322.534399996748
1973,48865.85279999132
1974,78571.46879998568
1975,53357.09760001572
1976,25625.462400001732
1977,25997.759999999947
1978,39462.422400000374
1979,24690.52800000447
1980,12268.54079999568
1981,32992.96320000029
1982,453.59999999996757
1983,33796.91519999187
1984,27739.152000001148
1985,37187.59679999708
1986,33623.251200007835
1987,38545.97759999637
1988,22314.787200002516
1989,38674.62719999938
1990,36467.27999998972
1991,16666.646400001482
1992,42437.08800000724
1993,53697.85919999195
1994,7353.763200001766
1995,38524.63680000565
1996,48666.959999989995
1997,7411.564799998051
1998,10171.526399998256
1999,9797.068799997507
2000,39490.32959999607
2001,15174.345600000715
2002,2376.000000000584
2003,8109.331200001353
2004,9931.852799999251
2005,9403.862399998668
2006,792.8927999999215
2007,4206.470400000206
2008,1017.2736000002157
2009,2592.172800000232
2010,30231.532800019322
2011,18199.5107500435
2012,16847.08187926525
2013,10225.989941848708
2014,5206.1183999994255
2015,1771.804800000149
2016,30561.407999993815
2017,6322.362137010795
2018,3815.7695997642
2019,13019.1839997336
2020,9999.158399901027
2021,33604.249292337925
2022,47667.52755524568
2023,14442.334387427734
2024,2147.9904000007746
